,target_return,exp_market_change,rates,Net_Profit,Non_current_liabilities,Debt_M,Debt_Per_Capita,CPI_perc,GDP_Mill_dollars,GDP_Growth_perc,Unemployment_alt
0,0.09013559322033893,-0.016851903863900813,7.08,317.9,220.7,130020,2557.0,5.468,375.304,3.0,24.7
1,-0.05361155698234354,0.04432109308283518,6.58,115.0,221.0,130020,2557.0,5.468,375.304,3.0,24.7
2,0.05028644175684272,0.008203853325046612,6.42,-136.0,306.8,130020,2557.0,5.468,375.304,3.0,24.7
3,-0.06036527853202622,0.13602403768068866,5.65,44.3,412.7,130020,2557.0,5.468,375.304,3.0,24.7
4,-0.0616009629852543,0.07657101343988376,5.53,40.4,444.2,159429,3091.0,3.571,416.879,3.3,24.7
5,-0.042315112540192934,-0.018848132106118028,5.45,165.8,442.1,159429,3091.0,3.571,416.879,3.3,24.7
6,0.1665391905822886,-0.06377303588748788,5.49,319.5,443.5,159429,3091.0,3.571,416.879,3.3,24.7
7,-0.07681788297172909,0.09852825525221884,5.49,330.4,434.5,159429,3091.0,3.571,416.879,3.3,24.7
8,-0.2262430126507796,0.0973365093113902,5.5,312.4,469.8,162398,3104.0,6.34,396.332,2.2,25.0
9,0.0667555724899982,-0.03245946652719665,5.56,563.0,4580.0,162398,3104.0,6.34,396.332,2.2,25.0
10,-0.14633333333333332,0.070336,4.93,168.0,5411.0,162398,3104.0,6.34,396.332,2.2,25.0
11,0.251844564682735,0.01887260988328781,5.09,-2165.0,4004.0,161760,3046.0,5.858,366.802,2.5,24.6
12,0.1093215220455004,0.08312694314169784,5.07,1.0,5414.0,161760,3046.0,5.858,366.802,2.5,24.6
13,-0.07125940739961056,0.06724337373635769,5.56,-305.0,5331.0,164828,3057.0,5.88,351.116,1.7,25.1
14,0.06511077287333,0.05921587377480277,5.74,39.0,5327.0,164828,3057.0,5.88,351.116,1.7,25.1
15,-0.4487402947234985,0.021225093574198176,6.01,-80.0,5450.0,164828,3057.0,5.88,351.116,1.7,25.1
16,0.3968983957219252,-0.017804545654372006,5.9,41.0,5295.0,164828,3057.0,5.88,351.116,1.7,25.1
17,-0.11016019310950187,0.03266935786292546,5.88,-58.0,5279.0,156650,2861.0,4.079,317.568,1.3,25.0
18,-0.4344434443444345,0.04661192306854566,5.73,-1.0,5176.0,156650,2861.0,4.079,317.568,1.3,25.0
19,0.2263308102742277,-0.060376496959382325,6.16,-17.0,5284.0,156650,2861.0,4.079,317.568,1.3,25.0
20,0.4936126724578436,0.041369534401919095,6.33,-76.0,4033.0,156650,2861.0,4.079,317.568,1.3,25.0
21,0.3171420170538077,-0.07318321392016376,6.93,65.0,4110.0,152509,2742.0,6.943,294.9,0.3,24.9
22,0.02017178552837073,0.01688801442859485,6.95,840.8,3820.7,130020,2557.0,5.468,375.304,3.0,24.7
23,0.027133911897176732,0.038148463127202034,6.08,1969.3,3084.8,130020,2557.0,5.468,375.304,3.0,24.7
24,0.08133669609079441,0.032084800626044886,5.5,672.5,3261.1,159429,3091.0,3.571,416.879,3.3,24.7
25,0.06552706552706544,-0.009011282125220777,5.49,2655.3,5302.2,159429,3091.0,3.571,416.879,3.3,24.7
26,0.1096330275229358,0.038257798705120666,5.54,2909.5,7513.8,162398,3104.0,6.34,396.332,2.2,25.0
27,0.0987252124645892,0.030342450160980843,4.94,4295.4,7000.1,162398,3104.0,6.34,396.332,2.2,25.0
28,-0.019431524547803614,0.04867565055762082,5.05,2300.4,6980.3,161760,3046.0,5.858,366.802,2.5,24.6
29,-0.008030303030303054,0.09516890664729384,5.06,6078.2,9757.5,161760,3046.0,5.858,366.802,2.5,24.6
30,-0.00979055211720692,0.0853959150820002,5.73,3101.4,38349.2,164828,3057.0,5.88,351.116,1.7,25.1
31,0.15826542491268913,-0.010371744005520095,6.0,6915.4,37629.3,164828,3057.0,5.88,351.116,1.7,25.1
32,-0.19127020785219395,0.06802041973908111,5.8,2751.6,37789.5,156650,2861.0,4.079,317.568,1.3,25.0
33,-0.04189147286821704,-0.040990030040489366,6.24,5201.4,32477.3,156650,2861.0,4.079,317.568,1.3,25.0
34,0.04234527687296419,0.036192098245299516,7.04,10044.2,21937.2,152509,2742.0,6.943,294.9,0.3,24.9
35,-0.20179743392656527,-0.03778111570075522,7.29,9400.0,40700.0,152509,2742.0,6.943,294.9,0.3,24.9
36,-0.038168793373628884,-0.02206031167779801,7.08,452.0,5676.0,130020,2557.0,5.468,375.304,3.0,24.7
37,0.24449053668654397,0.022191047060323942,6.42,1812.0,6043.0,130020,2557.0,5.468,375.304,3.0,24.7
38,-0.02272727272727271,0.015271493212669685,5.5,1558.0,6507.0,159429,3091.0,3.571,416.879,3.3,24.7
39,-0.08253556168532639,-0.017502130076682762,5.49,3311.0,6457.0,159429,3091.0,3.571,416.879,3.3,24.7
40,-0.08730158730158732,0.04202369166695115,5.5,1983.0,6329.0,162398,3104.0,6.34,396.332,2.2,25.0
41,0.20408163265306128,0.0393313336254255,4.94,3438.0,6885.0,162398,3104.0,6.34,396.332,2.2,25.0
42,-0.07216165913320928,0.02649534780682322,5.04,1406.0,8327.0,161760,3046.0,5.858,366.802,2.5,24.6
43,-0.06275251879506982,0.091628381827463,5.06,1634.0,8235.0,161760,3046.0,5.858,366.802,2.5,24.6
44,-0.2496590167823044,0.015836162523272367,6.0,3289.0,4889.0,164828,3057.0,5.88,351.116,1.7,25.1
45,0.006521739130434856,0.06491385457640375,5.8,801.0,4936.0,156650,2861.0,4.079,317.568,1.3,25.0
46,0.1300228683436786,0.0027479015049054326,7.29,-565.0,6850.0,152509,2742.0,6.943,294.9,0.3,24.9
47,-0.11922393364928907,0.01812807881773399,6.95,6840.0,567347.0,130020,2557.0,5.468,375.304,3.0,24.7
48,0.061100978278892486,-0.0270857423175304,5.5,8118.0,572955.0,159429,3091.0,3.571,416.879,3.3,24.7
49,-0.08594377510040163,0.014606703494086147,5.54,9791.0,589580.0,162398,3104.0,6.34,396.332,2.2,25.0
50,-0.0845904143593661,0.1076655158718035,5.04,9812.0,643571.0,161760,3046.0,5.858,366.802,2.5,24.6
51,-0.030858895705521475,0.06098587384272424,6.03,6166.0,778086.0,164828,3057.0,5.88,351.116,1.7,25.1
52,-0.044385026737967966,0.0633263426643567,5.8,13216.0,795143.0,156650,2861.0,4.079,317.568,1.3,25.0
53,0.05083159334725318,0.007212080234392608,7.04,14331.0,888039.0,152509,2742.0,6.943,294.9,0.3,24.9
54,0.252485476068937,-0.02753534111862324,6.42,12722.0,26481.0,130020,2557.0,5.468,375.304,3.0,24.7
55,-0.06813665678926273,0.07657101343988376,5.53,10524.0,27402.0,159429,3091.0,3.571,416.879,3.3,24.7
56,0.07965997721496798,-0.10564781773263794,5.49,23648.0,25403.0,159429,3091.0,3.571,416.879,3.3,24.7
57,0.10945565462224316,0.03979168084961536,5.5,9941.0,36609.0,162398,3104.0,6.34,396.332,2.2,25.0
58,0.04445709001671583,0.03771230126431168,5.09,11039.0,45702.0,161760,3046.0,5.858,366.802,2.5,24.6
59,-0.048430032064855744,0.0727104115494511,5.56,8107.0,48643.0,164828,3057.0,5.88,351.116,1.7,25.1
60,-0.16974360534079502,0.0282,6.01,13877.0,47967.0,164828,3057.0,5.88,351.116,1.7,25.1
61,-0.06057479734708915,0.041786807434680384,5.88,4265.0,46481.0,156650,2861.0,4.079,317.568,1.3,25.0
62,-0.07041844246416118,-0.07518049370974017,6.16,1910.0,41182.0,156650,2861.0,4.079,317.568,1.3,25.0
63,0.2964575102122815,-0.08501667204474561,6.93,-5669.0,45601.0,152509,2742.0,6.943,294.9,0.3,24.9
64,0.22021917808219185,-0.03933712401445814,7.3,-6385.0,46542.0,152509,2742.0,6.943,294.9,0.3,24.9
65,0.1211242067089755,0.03814458958580733,5.53,2879.0,8916.0,159429,3091.0,3.571,416.879,3.3,24.7
