,target_return,exp_market_change,rates,Debt_M,Debt_Per_Capita,CPI_perc,GDP_Mill_dollars,GDP_Growth_perc,Unemployment_alt
0,0.09013559322033893,-0.016851903863900813,7.08,130020,2557.0,5.468,375.304,3.0,24.7
1,-0.05361155698234354,0.04432109308283518,6.58,130020,2557.0,5.468,375.304,3.0,24.7
2,0.05028644175684272,0.008203853325046612,6.42,130020,2557.0,5.468,375.304,3.0,24.7
3,-0.06036527853202622,0.13602403768068866,5.65,130020,2557.0,5.468,375.304,3.0,24.7
4,-0.0616009629852543,0.07657101343988376,5.53,159429,3091.0,3.571,416.879,3.3,24.7
5,-0.042315112540192934,-0.018848132106118028,5.45,159429,3091.0,3.571,416.879,3.3,24.7
6,0.1665391905822886,-0.06377303588748788,5.49,159429,3091.0,3.571,416.879,3.3,24.7
7,-0.07681788297172909,0.09852825525221884,5.49,159429,3091.0,3.571,416.879,3.3,24.7
8,-0.2262430126507796,0.0973365093113902,5.5,162398,3104.0,6.34,396.332,2.2,25.0
9,0.0667555724899982,-0.03245946652719665,5.56,162398,3104.0,6.34,396.332,2.2,25.0
10,-0.14633333333333332,0.070336,4.93,162398,3104.0,6.34,396.332,2.2,25.0
11,0.251844564682735,0.01887260988328781,5.09,161760,3046.0,5.858,366.802,2.5,24.6
12,0.1093215220455004,0.08312694314169784,5.07,161760,3046.0,5.858,366.802,2.5,24.6
13,-0.07125940739961056,0.06724337373635769,5.56,164828,3057.0,5.88,351.116,1.7,25.1
14,0.06511077287333,0.05921587377480277,5.74,164828,3057.0,5.88,351.116,1.7,25.1
15,-0.4487402947234985,0.021225093574198176,6.01,164828,3057.0,5.88,351.116,1.7,25.1
16,0.3968983957219252,-0.017804545654372006,5.9,164828,3057.0,5.88,351.116,1.7,25.1
17,-0.11016019310950187,0.03266935786292546,5.88,156650,2861.0,4.079,317.568,1.3,25.0
18,-0.4344434443444345,0.04661192306854566,5.73,156650,2861.0,4.079,317.568,1.3,25.0
19,0.2263308102742277,-0.060376496959382325,6.16,156650,2861.0,4.079,317.568,1.3,25.0
20,0.4936126724578436,0.041369534401919095,6.33,156650,2861.0,4.079,317.568,1.3,25.0
21,0.3171420170538077,-0.07318321392016376,6.93,152509,2742.0,6.943,294.9,0.3,24.9
22,0.02017178552837073,0.01688801442859485,6.95,130020,2557.0,5.468,375.304,3.0,24.7
23,0.027133911897176732,0.038148463127202034,6.08,130020,2557.0,5.468,375.304,3.0,24.7
24,0.08133669609079441,0.032084800626044886,5.5,159429,3091.0,3.571,416.879,3.3,24.7
25,0.06552706552706544,-0.009011282125220777,5.49,159429,3091.0,3.571,416.879,3.3,24.7
26,0.1096330275229358,0.038257798705120666,5.54,162398,3104.0,6.34,396.332,2.2,25.0
27,0.0987252124645892,0.030342450160980843,4.94,162398,3104.0,6.34,396.332,2.2,25.0
28,-0.019431524547803614,0.04867565055762082,5.05,161760,3046.0,5.858,366.802,2.5,24.6
29,-0.008030303030303054,0.09516890664729384,5.06,161760,3046.0,5.858,366.802,2.5,24.6
30,-0.00979055211720692,0.0853959150820002,5.73,164828,3057.0,5.88,351.116,1.7,25.1
31,0.15826542491268913,-0.010371744005520095,6.0,164828,3057.0,5.88,351.116,1.7,25.1
32,-0.19127020785219395,0.06802041973908111,5.8,156650,2861.0,4.079,317.568,1.3,25.0
33,-0.04189147286821704,-0.040990030040489366,6.24,156650,2861.0,4.079,317.568,1.3,25.0
34,0.04234527687296419,0.036192098245299516,7.04,152509,2742.0,6.943,294.9,0.3,24.9
35,-0.20179743392656527,-0.03778111570075522,7.29,152509,2742.0,6.943,294.9,0.3,24.9
36,-0.038168793373628884,-0.02206031167779801,7.08,130020,2557.0,5.468,375.304,3.0,24.7
